,YEAR,ACTIVE YEAR,CODE STATUS,TYPE OF VIOLENCE,SIDE A,SIDE B,STATE,LATITUDE,LONGITUDE,NO OF DEATHS FROM SIDE A,NO OF DEATHS FROM SIDE B,NO OF DEATHS OF CIVILIANS,NO OF UNKNOWN DEATHS,TOTAL DEATHS,Region
0,1989,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,0,25,25,Northern
1,1990,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,0,17,17,Northern
2,1990,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,1,5,0,0,6,Northern
3,1990,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.77,74.1,0,0,0,0,0,Northern
4,1990,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,0,0,0,Northern
5,1990,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.77,74.1,0,2,0,0,2,Northern
6,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
7,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,1,0,0,0,1,Northern
8,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,2,0,0,0,2,Northern
9,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,50,50,Northern
10,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,3,0,0,3,Northern
11,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,1,0,0,0,1,Northern
12,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.666697,73.966538,6,6,0,0,12,Northern
13,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.554543,76.135469,0,0,3,0,3,Northern
14,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.172363,76.182296,0,0,0,0,0,Northern
15,1992,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,0,6,6,Northern
16,1992,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
17,1992,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
18,1992,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.84115,74.462913,3,11,0,0,14,Northern
19,1992,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.84115,74.462913,0,0,5,0,5,Northern
20,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.085396,74.234832,0,1,0,0,1,Northern
21,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,1,0,0,1,Northern
22,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,1,0,1,Northern
23,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0,Northern
24,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.4775,74.857777,0,1,0,0,1,Northern
25,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,1,0,0,0,1,Northern
26,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,2,0,2,Northern
27,1994,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.049509,74.074802,2,0,1,0,3,Northern
28,1994,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.339199,74.320461,1,1,0,1,3,Northern
29,1996,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,0,25,25,Northern
