,YEAR,ACTIVE YEAR,CODE STATUS,TYPE OF VIOLENCE,SIDE A,SIDE B,STATE,LATITUDE,LONGITUDE,NO OF DEATHS FROM SIDE A,NO OF DEATHS FROM SIDE B,NO OF DEATHS OF CIVILIANS,NO OF UNKNOWN DEATHS,TOTAL DEATHS
0,1989,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,0,25,25
1,1990,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,0,17,17
2,1990,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,1,5,0,0,6
3,1990,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.77,74.1,0,0,0,0,0
4,1990,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,0,0,0
5,1990,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.77,74.1,0,2,0,0,2
6,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0
7,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,1,0,0,0,1
8,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,2,0,0,0,2
9,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,50,50
10,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,3,0,0,3
11,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,1,0,0,0,1
12,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.666697,73.966538,6,6,0,0,12
13,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.554543,76.135469,0,0,3,0,3
14,1991,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.172363,76.182296,0,0,0,0,0
15,1992,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,0,6,6
16,1992,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0
17,1992,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0
18,1992,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.84115,74.462913,3,11,0,0,14
19,1992,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.84115,74.462913,0,0,5,0,5
20,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.085396,74.234832,0,1,0,0,1
21,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,1,0,0,1
22,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,1,0,1
23,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0
24,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.4775,74.857777,0,1,0,0,1
25,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,1,0,0,0,1
26,1993,0,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,2,0,2
27,1994,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.049509,74.074802,2,0,1,0,3
28,1994,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.339199,74.320461,1,1,0,1,3
29,1996,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.565,74.676,0,0,0,25,25
30,1996,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,1,0,1
31,1996,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.844283,74.70719,0,0,1,0,1
32,1996,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,32.844283,74.70719,0,3,0,0,3
33,1997,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.525291,76.045486,0,0,2,0,2
34,1997,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,2,50,3,0,55
35,1997,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,0,0,0
36,1997,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,34.267783,73.990241,2,0,0,0,2
37,1997,1,Clear,1,Government of India,Government of Pakistan,Jammu and Kashmir,33.91667,76.66667,0,0,2,0,2
